"location","group","hostname","os","desc","ip4s","vm_list","parent","runs_sshd"
"Baie-1 I.P.R.E.M","paulla","cannelle","debian","Paulla smtp et dns","193.55.222.227, 194.167.156.67, 10.64.1.3",,,"True"
"Baie-1 Médiathèque des Allées","paulla","mont-perdu","freebsd","Paulla Web et services","193.55.222.228, 194.167.156.7, 10.64.1.42","svn, supervision, stats, scrumdo, ldap, http_reverse, dns, bot, plone",,"True"
"Baie-1 Médiathèque des Allées","paulla","vignemale","openbsd","machine de backup","10.64.1.2",,,"True"
"Baie-1 Médiathèque des Allées","paulla-osm","arrious","ubuntu","baie de disque ","10.64.1.11",,,"True"
"Baie-1 Médiathèque des Allées","paulla-osm","arremoulit","ubuntu","serveur de tuiles OSM PauLLA","10.64.1.12",,,"True"
"Baie-1 Médiathèque des Allées","paulla-osm","bersou","ubuntu","serveur de tuiles OSM Makina","10.64.1.13",,,"True"
"Baie-1 Médiathèque des Allées","paulla-osm","biscaou","ubuntu","BDD OSM","10.64.1.21",,,"True"
"Baie-1 Médiathèque des Allées","osm-fundation","lurien","ubuntu","cache tuiles offciel OSM","10.64.1.22, 193.55.222.229",,,"True"
"Baie-1 Médiathèque des Allées","netbsd-fr","canigou","netbsd","mirroir officiel pkgrsc-security","172.16.42.106",,,"True"
"Baie-1 Médiathèque des Allées","paulla","svn","freebsd-jail","subversion","192.168.42.120",,"mont-perdu","False"
"Baie-1 Médiathèque des Allées","paulla","supervision","freebsd-jail","supervision","192.168.42.20",,"mont-perdu","False"
"Baie-1 Médiathèque des Allées","paulla","stats","freebsd-jail","stats","192.168.42.30",,"mont-perdu","False"
"Baie-1 Médiathèque des Allées","paulla","scrumdo","freebsd-jail","scrumdo","192.168.42.100",,"mont-perdu","False"
"Baie-1 Médiathèque des Allées","paulla","ldap","freebsd-jail","ldap","192.168.42.89",,"mont-perdu","False"
"Baie-1 Médiathèque des Allées","paulla","http_reverse","freebsd-jail","http_reverse","192.168.42.80",,"mont-perdu","False"
"Baie-1 Médiathèque des Allées","paulla","dns","freebsd-jail","dns","192.168.42.67",,"mont-perdu","False"
"Baie-1 Médiathèque des Allées","paulla","bot","freebsd-jail","bot","192.168.42.130",,"mont-perdu","True"
"Baie-1 Médiathèque des Allées","paulla","plone","freebsd-jail","plone","192.168.42.10",,"mont-perdu","False"
